id,codalu,"Código
Curso","N° Total de
Repeticiones"
1,20141493H,FA105,2
1,20090462C,FA109,2
1,19991269E,FA191,11
1,20120417K,FA103,2
1,20120417K,FA271,2
1,20111054F,FA215,2
1,20091236G,FA109,2
1,20131198C,FA162,2
1,20107021J,FA284,2
1,20062681F,FA109,2
1,20170489E,FA432,2
1,20171373K,FA621,2
1,20140544H,FA107,2
1,20151305J,FA396,2
1,20042696H,FA215,2
1,20112693B,FA109,2
1,20117513B,FA293,2
1,20100472F,FA192,2
1,20120451D,FA224,2
1,20151500G,FA347,2
1,20101351H,FA732,2
1,20111422E,FA109,2
1,20152735H,FA273,2
1,20147511H,FA105,2
1,20080450B,FA192,2
1,20112697H,FA374,2
1,20162065E,FA396,2
1,20171404C,FA621,2
1,20082078C,FA515,2
1,20170541G,FA431,2
1,20160518B,FA396,2
1,20114124E,FA347,2
1,20097018A,FA109,2
1,20081404D,FA121,2
1,20032679C,FA592,2
1,20132730K,FA106,2
1,20152692G,FA104,2
1,20144535C,FA515,2
1,19980571G,FA592,2
1,20101449H,FA107,2
1,20101449H,FA224,2
1,20152263I,FA347,2
1,20152263I,FA396,2
1,20152263I,FA516,2
1,20130533C,FA121,2
1,20111170F,FA223,2
1,20114094I,FA704,2
1,20082585B,FA109,2
1,20081398D,FA108,2
1,20132242F,FA109,2
1,20120398F,FA109,2
1,20120431C,FA347,2
1,20100460H,FA107,2
1,20140347H,FA161,2
1,20121455C,FA710,2
1,20001389C,FA607,2
1,19954078E,FA592,2
1,20120342K,FA293,2
1,20120342K,FA701,2
1,20160551J,FA104,2
1,20132239E,FA108,2
1,20151459G,FA615,2
1,20141497C,FA348,2
1,20141497C,FA397,2
1,19910684G,FA110,9
1,20121198K,FA327,2
1,20151413G,FA105,2
1,20022675E,FA192,2
1,20090463J,FA348,2
1,20070419E,FA348,2
1,19920649J,FA106,12
1,20162684G,FA396,2
1,20050417G,FA383,7
1,20050417G,FA615,5
1,20060400J,FA293,2
1,20121473A,FA107,2
1,20110456C,FA392,2
1,19730822B,FA406,2
1,19961261F,FA109,2
1,19961261F,FA293,2
1,20100445I,FA346,2
1,20132233G,FA109,2
1,20151432A,FA105,2
1,20032220K,FA109,6
1,20101443J,FA109,2
1,20111387E,FA109,2
1,20091380K,FA591,2
1,20061381I,FA107,2
1,20061381I,FA121,2
1,20130091K,FA293,2
1,20112704D,FA106,2
1,19961393J,FA615,2
1,20110463J,FA121,2
1,20171498H,FA621,2
1,20140549J,FA106,2
1,20140549J,FA161,2
1,20130528J,FA107,2
1,20131101J,FA107,2
1,20160135F,FA381,2
1,20160135F,FA396,2
1,20160135F,FA613,2
1,20141176B,FA348,2
1,20140550H,FA161,2
1,20171199K,FA621,2
1,20171542G,FA621,2
1,20021357J,FA525,2
1,20170116D,FA612,2
1,20071393J,FA109,2
1,20071393J,FA293,2
1,20122215F,FA515,2
1,20090451A,FA294,2
1,19910704H,FA110,2
1,20152608F,FA103,2
