enterga,codcur,codalu,nveces,codperiodo,codcar
1,FA108,20142727B,2,2019I,A1
1,FA191,19991269E,2,2019I,A1
1,FA716,20111054F,2,2019I,A1
1,FA121,20080289G,2,2019I,A1
1,FA215,20042696H,2,2019I,A1
1,FA110,20117513B,2,2019I,A1
1,FA108,20140554C,2,2019I,A1
1,FA224,20120451D,2,2019I,A1
1,FA293,20101351H,2,2019I,A1
1,FA293,20100459J,2,2019I,A1
1,FA374,20112697H,2,2019I,A1
1,FA109,20082078C,2,2019I,A1
1,FA108,20030425D,2,2019I,A1
1,FA121,20081404D,2,2019I,A1
1,FA592,19980571G,2,2019I,A1
1,FA224,20101449H,2,2019I,A1
1,FA109,20140547G,2,2019I,A1
1,FA121,20130533C,2,2019I,A1
1,FA525,20091241K,2,2019I,A1
1,FA223,20111170F,2,2019I,A1
1,FA162,20000172K,2,2019I,A1
1,FA161,19944086E,2,2019I,A1
1,FA110,20091414B,2,2019I,A1
1,FA525,20114094I,2,2019I,A1
1,FA109,20082585B,2,2019I,A1
1,FA294,20122713F,2,2019I,A1
1,FA392,20132242F,2,2019I,A1
1,FA710,20121455C,2,2019I,A1
1,FA607,20001389C,2,2019I,A1
1,FA293,20120342K,2,2019I,A1
1,FA392,20071395B,2,2019I,A1
1,FA591,20111393E,2,2019I,A1
1,FA327,20121198K,2,2019I,A1
1,FA163,19940497K,2,2019I,A1
1,FA285,20130525K,2,2019I,A1
1,FA109,20070428D,2,2019I,A1
1,FA110,19980580F,2,2019I,A1
1,FA109,20144130C,2,2019I,A1
1,FA371,20122214J,2,2019I,A1
1,FA391,20122707F,2,2019I,A1
1,FA108,20082691G,2,2019I,A1
1,FA293,20060400J,2,2019I,A1
1,FA109,20062683I,2,2019I,A1
1,FA109,19954054I,2,2019I,A1
1,FA531,19970587H,2,2019I,A1
1,FA108,20130527C,2,2019I,A1
1,FA110,20091380K,2,2019I,A1
1,FA109,20052667K,2,2019I,A1
1,FA525,20121457F,2,2019I,A1
1,FA121,20110463J,2,2019I,A1
1,FA592,20040441B,2,2019I,A1
1,FA109,20134157F,2,2019I,A1
1,FA162,19970586A,2,2019I,A1
1,FA293,19930454G,2,2019I,A1
1,FA108,20037012G,2,2019I,A1
1,FA525,20051359K,2,2019I,A1
1,FA110,20054059H,2,2019I,A1
1,FA224,20094524C,2,2019I,A1
1,FA515,20122215F,2,2019I,A1
1,FA108,20052011H,2,2019I,A1
1,FA109,19997003G,2,2019I,A1
1,FA110,20080438B,2,2019I,A1
1,FA514,19930574B,2,2019I,A1
1,FA192,19991470B,2,2019I,A1
1,FA293,20114160A,2,2019I,A1
1,FA615,19880589A,2,2019I,A1
1,FA294,20071325D,2,2019I,A1
1,FA110,20082209K,2,2019I,A1
1,FA192,19930497H,2,2019I,A1
1,FA526,20131525D,2,2019I,A1
1,FA109,20101422B,2,2019I,A1
1,FA294,20090440J,2,2019I,A1
1,FA606,20091390F,2,2019I,A1
1,FA526,20091410G,2,2019I,A1
1,FA606,19981362B,2,2019I,A1
1,FA591,19971375D,2,2019I,A1
1,FA591,19910034B,2,2019I,A1
1,FA731,20031346K,2,2019I,A1
1,CF221,20151395I,2,2019I,N1
1,CF561,20060234B,2,2019I,N1
1,CF221,20160278A,2,2019I,N1
1,BIC01,20182116D,2,2019I,N1
1,CF391,20050099E,2,2019I,N1
1,CM142,20132608K,2,2019I,N1
1,CF222,20152741H,2,2019I,N1
1,CF582,19972195J,2,2019I,N1
1,BFI01,20184077F,2,2019I,N1
1,CF221,20160487J,2,2019I,N1
1,CC102,20160501B,2,2019I,N1
1,CF371,19801660J,2,2019I,N1
1,CF221,20161290E,2,2019I,N1
1,BMA01,20184144E,2,2019I,N1
1,CL002,20174053G,2,2019I,N1
