id,"Código
Curso",codalu,"N° Total de
Repeticiones",cosperidod
1,FA105,20141493H,2,2018II
1,FA109,20090462C,2,2018II
1,FA191,19991269E,11,2018II
1,FA103,20120417K,2,2018II
1,FA271,20120417K,2,2018II
1,FA215,20111054F,2,2018II
1,FA109,20091236G,2,2018II
1,FA162,20131198C,2,2018II
1,FA284,20107021J,2,2018II
1,FA109,20062681F,2,2018II
1,FA432,20170489E,2,2018II
1,FA621,20171373K,2,2018II
1,FA107,20140544H,2,2018II
1,FA396,20151305J,2,2018II
1,FA215,20042696H,2,2018II
1,FA109,20112693B,2,2018II
1,FA293,20117513B,2,2018II
1,FA192,20100472F,2,2018II
1,FA224,20120451D,2,2018II
1,FA347,20151500G,2,2018II
1,FA732,20101351H,2,2018II
1,FA109,20111422E,2,2018II
1,FA273,20152735H,2,2018II
1,FA105,20147511H,2,2018II
1,FA192,20080450B,2,2018II
1,FA374,20112697H,2,2018II
1,FA396,20162065E,2,2018II
1,FA621,20171404C,2,2018II
1,FA515,20082078C,2,2018II
1,FA431,20170541G,2,2018II
1,FA396,20160518B,2,2018II
1,FA347,20114124E,2,2018II
1,FA109,20097018A,2,2018II
1,FA121,20081404D,2,2018II
1,FA592,20032679C,2,2018II
1,FA106,20132730K,2,2018II
1,FA104,20152692G,2,2018II
1,FA515,20144535C,2,2018II
1,FA592,19980571G,2,2018II
1,FA107,20101449H,2,2018II
1,FA224,20101449H,2,2018II
1,FA347,20152263I,2,2018II
1,FA396,20152263I,2,2018II
1,FA516,20152263I,2,2018II
1,FA121,20130533C,2,2018II
1,FA223,20111170F,2,2018II
1,FA704,20114094I,2,2018II
1,FA109,20082585B,2,2018II
1,FA108,20081398D,2,2018II
1,FA109,20132242F,2,2018II
1,FA109,20120398F,2,2018II
1,FA347,20120431C,2,2018II
1,FA107,20100460H,2,2018II
1,FA161,20140347H,2,2018II
1,FA710,20121455C,2,2018II
1,FA607,20001389C,2,2018II
1,FA592,19954078E,2,2018II
1,FA293,20120342K,2,2018II
1,FA701,20120342K,2,2018II
1,FA104,20160551J,2,2018II
1,FA108,20132239E,2,2018II
1,FA615,20151459G,2,2018II
1,FA348,20141497C,2,2018II
1,FA397,20141497C,2,2018II
1,FA110,19910684G,9,2018II
1,FA327,20121198K,2,2018II
1,FA105,20151413G,2,2018II
1,FA192,20022675E,2,2018II
1,FA348,20090463J,2,2018II
1,FA348,20070419E,2,2018II
1,FA106,19920649J,12,2018II
1,FA396,20162684G,2,2018II
1,FA383,20050417G,7,2018II
1,FA615,20050417G,5,2018II
1,FA293,20060400J,2,2018II
1,FA107,20121473A,2,2018II
1,FA392,20110456C,2,2018II
1,FA406,19730822B,2,2018II
1,FA109,19961261F,2,2018II
1,FA293,19961261F,2,2018II
1,FA346,20100445I,2,2018II
1,FA109,20132233G,2,2018II
1,FA105,20151432A,2,2018II
1,FA109,20032220K,6,2018II
1,FA109,20101443J,2,2018II
1,FA109,20111387E,2,2018II
1,FA591,20091380K,2,2018II
1,FA107,20061381I,2,2018II
1,FA121,20061381I,2,2018II
1,FA293,20130091K,2,2018II
1,FA106,20112704D,2,2018II
1,FA615,19961393J,2,2018II
1,FA121,20110463J,2,2018II
1,FA621,20171498H,2,2018II
1,FA106,20140549J,2,2018II
1,FA161,20140549J,2,2018II
1,FA107,20130528J,2,2018II
1,FA107,20131101J,2,2018II
1,FA381,20160135F,2,2018II
1,FA396,20160135F,2,2018II
1,FA613,20160135F,2,2018II
1,FA348,20141176B,2,2018II
1,FA161,20140550H,2,2018II
1,FA621,20171199K,2,2018II
1,FA621,20171542G,2,2018II
1,FA525,20021357J,2,2018II
1,FA612,20170116D,2,2018II
1,FA109,20071393J,2,2018II
1,FA293,20071393J,2,2018II
1,FA515,20122215F,2,2018II
1,FA294,20090451A,2,2018II
1,FA110,19910704H,2,2018II
1,FA103,20152608F,2,2018II
1,FA396,20152608F,2,2018II
1,FA107,20121469D,2,2018II
1,FA406,20170572J,2,2018II
1,FA271,20151296K,2,2018II
1,FA397,20151296K,2,2018II
1,FA104,20110464F,2,2018II
1,FA105,20151468F,2,2018II
1,FA294,20091416E,2,2018II
1,FA526,20131525D,2,2018II
1,FA161,20080456K,2,2018II
1,FA544,20080456K,2,2018II
1,FA441,20170513C,2,2018II
1,FA110,19880627K,2,2018II
1,FA525,20120379A,2,2018II
1,FA592,20102587E,2,2018II
1,FA398,20090460K,2,2018II
1,FA710,20091390F,2,2018II
1,FA294,20130519K,2,2018II
1,FA526,20091410G,2,2018II
1,FA161,20134155C,2,2018II
1,FA606,19981362B,2,2018II
1,FA514,19940510G,2,2018II
1,FA397,19880599G,2,2018II
1,FA107,20121472E,2,2018II
1,FA591,19910034B,2,2018II
1,FA107,20121454G,2,2018II
1,FA273,20020417I,2,2018II
1,FA106,20142720H,2,2018II
1,FA703,20142720H,2,2018II
1,FA731,20031346K,2,2018II
1,CF251,20160486C,2,2018II
1,CM211,20160486C,2,2018II
1,CM274,20080298F,2,2018II
1,CF221,20150517C,2,2018II
1,CM261,20150517C,2,2018II
1,CC212,20142591C,2,2018II
1,CH007,20081365I,2,2018II
1,CF221,20152253C,2,2018II
1,CF121,20172759J,2,2018II
1,CQ111,20172759J,2,2018II
1,CM131,20171603F,2,2018II
1,CM141,20171603F,2,2018II
1,CQ111,20171603F,2,2018II
1,CM131,20171543C,2,2018II
1,CM141,20171543C,2,2018II
1,CQ112,20160227H,2,2018II
1,CF221,20144547A,2,2018II
1,CQ111,20160771J,2,2018II
1,CF121,20171614H,2,2018II
1,CM131,20171614H,2,2018II
1,CM141,20171614H,2,2018II
1,CF221,20150522G,2,2018II
1,CM274,20090312A,2,2018II
1,CM262,19971130A,7,2018II
1,IF571,20032152E,2,2018II
1,CH061,20121423D,2,2018II
1,CC101,20171551F,2,2018II
1,CF451,20142126I,2,2018II
1,CC102,20162743C,2,2018II
1,CF121,20171569B,2,2018II
1,CM141,20171569B,2,2018II
1,CQ111,20171569B,2,2018II
1,CF382,20101364B,3,2018II
1,IF372,20101364B,3,2018II
1,CM211,20160756K,2,2018II
1,CF531,20070026C,2,2018II
1,CF561,20070026C,2,2018II
1,CF121,20171561A,2,2018II
1,CF121,20172738B,2,2018II
1,CM131,20172738B,2,2018II
1,CQ111,20172738B,2,2018II
1,CQ311,20132714E,2,2018II
1,CQ341,20132714E,2,2018II
1,CH061,20120434B,2,2018II
1,CM334,20120434B,2,2018II
1,CC541,20082673I,2,2018II
1,CF221,20160271G,2,2018II
1,CF302,20120461J,2,2018II
1,CC066,20110335A,2,2018II
1,CF221,20142212B,2,2018II
1,CM261,20160745I,2,2018II
1,CM142,20130470A,2,2018II
1,CC101,20132608K,3,2018II
1,CM142,20132608K,2,2018II
1,IF451,20120454C,2,2018II
1,CF371,20141148I,2,2018II
1,CF221,20154087C,2,2018II
1,CM361,20031123A,2,2018II
1,CC101,19791452K,8,2018II
1,CF221,20162224F,2,2018II
1,CM131,20172740G,2,2018II
1,CM141,20172740G,2,2018II
1,CH061,20111334I,2,2018II
1,CM313,20021185D,2,2018II
1,CM131,20172723E,2,2018II
1,CM214,20142699I,2,2018II
1,CM132,20172230I,2,2018II
1,CF121,20171594G,2,2018II
1,CM141,20171594G,2,2018II
1,CF582,19972195J,2,2018II
1,CQ232,20121346J,2,2018II
1,CQ362,20121346J,2,2018II
1,CF221,20151380A,2,2018II
1,CQ013,20094516K,2,2018II
1,CQ037,20094516K,2,2018II
1,CH061,20030307A,2,2018II
1,CQ341,20120485F,2,2018II
1,CF121,20172747A,2,2018II
1,CM131,20172747A,2,2018II
1,CM211,20150451B,2,2018II
1,CF121,20161413J,2,2018II
1,CQ111,20161413J,2,2018II
1,CC102,19992147K,2,2018II
1,CM254,19992147K,2,2018II
1,CC481,20101205A,2,2018II
1,CF221,20150497B,2,2018II
1,CC102,20170333E,2,2018II
1,CQ331,20141417J,2,2018II
1,CF121,20162704H,2,2018II
1,CF452,20050242B,4,2018II
1,CC212,20102198I,2,2018II
1,CF221,20164119E,2,2018II
1,CM313,20122652G,2,2018II
1,CF452,19980293G,4,2018II
1,CF221,20160451E,2,2018II
1,CF122,20152225J,2,2018II
1,CM261,20152225J,2,2018II
1,CC102,20162243K,2,2018II
1,CQ341,20070390G,2,2018II
1,CF221,20152704E,2,2018II
1,CM141,20172761D,2,2018II
1,CC541,20114535E,2,2018II
1,CQ111,20171613A,2,2018II
1,CQ332,20010332K,2,2018II
1,CC102,20142704B,2,2018II
1,CC101,20161486G,2,2018II
1,CM131,20161486G,2,2018II
1,IF482,20147510A,2,2018II
1,CC102,20142708H,2,2018II
1,CC101,19784121B,2,2018II
1,CC102,20150259D,2,2018II
1,CF401,20111333B,2,2018II
1,IF271,20111333B,2,2018II
1,CM141,20171571G,2,2018II
1,CF122,20162195F,2,2018II
1,CM577,19900702B,2,2018II
1,IF563,20122688A,2,2018II
1,CF121,20172752E,2,2018II
1,CF121,20170631F,2,2018II
1,CC101,20170587G,2,2018II
1,CF121,20171608H,2,2018II
1,CF581,20132640A,2,2018II
1,IF321,20131475G,2,2018II
1,CF581,20131495H,2,2018II
1,CC212,20151480F,2,2018II
1,CF121,20171413B,2,2018II
1,CF222,20010208H,2,2018II
1,CM254,20142734I,2,2018II
1,CM214,20142709D,2,2018II
1,CF222,20152716C,2,2018II
1,CF221,20112161K,2,2018II
1,CF222,20142645F,2,2018II
1,CM214,20142645F,2,2018II
